label	cell_type
SC_96279_67_40	cHF	EC
SC_96279_65_56	cHF	EC
SC_96279_69_9	cHF	EC
SC_96279_68_9	cHF	EC
SC_96279_58_0	cHF	CM
SC_96279_54_31	cHF	CM
SC_96279_32_8	cHF	EC
SC_96279_71_31	cHF	FB
SC_96279_68_57	cHF	MP
SC_96279_2_24	cHF	CM
SC_96279_53_44	cHF	CM
SC_96279_69_41	cHF	EC
SC_96279_59_48	cHF	CM
SC_96279_66_47	cHF	EC
SC_96279_31_67	cHF	FB
SC_96279_67_18	cHF	EC
SC_96279_48_51	cHF	CM
SC_96279_68_19	cHF	EC
SC_96279_70_7	cHF	EC
SC_96279_36_69	cHF	CM
SC_96279_65_30	cHF	EC
SC_96279_64_18	cHF	EC
SC_96279_69_20	cHF	EC
SC_96279_53_23	cHF	CM
SC_96279_67_42	cHF	EC
SC_96279_68_56	cHF	SMC
SC_96279_64_56	cHF	EC
SC_96279_48_2	cHF	CM
SC_96279_58_52	cHF	CM
SC_96279_62_52	cHF	CM
SC_96279_26_27	cHF	CM
SC_96279_68_0	cHF	EC
SC_96279_70_62	cHF	SMC
SC_96279_7_48	cHF	CM
SC_96279_49_20	cHF	CM
SC_96279_67_0	cHF	FB
SC_96279_63_19	cHF	EC
SC_96279_63_39	cHF	EC
SC_96279_66_10	cHF	FB
SC_96279_52_65	cHF	CM
SC_96330_65_52	cHF	EC
SC_96330_66_2	cHF	FB
SC_96330_66_26	cHF	SMC
SC_96330_70_26	cHF	EC
SC_96330_32_0	cHF	EC
SC_96330_31_1	cHF	EC
SC_96330_69_27	cHF	EC
SC_96330_65_35	cHF	EC
SC_96330_30_1	cHF	EC
SC_96330_33_35	cHF	EC
SC_96330_63_53	cHF	EC
SC_96330_29_23	cHF	EC
SC_96330_63_49	cHF	SMC
SC_96330_69_7	cHF	FB
SC_96330_35_7	cHF	FB
SC_96330_67_61	cHF	EC
SC_96330_29_25	cHF	EC
SC_96330_63_16	cHF	MP
SC_96330_33_6	cHF	EC
SC_96330_67_39	cHF	EC
SC_96330_66_7	cHF	EC
SC_96330_66_3	cHF	EC
SC_96330_32_48	cHF	EC
SC_96330_29_44	cHF	MP
SC_96330_32_13	cHF	EC
SC_96330_68_55	cHF	EC
SC_96330_70_50	cHF	MP
SC_96330_69_33	cHF	EC
SC_96330_65_0	cHF	EC
SC_96330_65_51	cHF	EC
SC_96330_69_1	cHF	SMC
SC_96330_71_43	cHF	EC
SC_96330_31_44	cHF	EC
SC_96330_66_27	cHF	EC
SC_96330_68_53	cHF	MP
SC_96330_67_52	cHF	EC
SC_96330_31_10	cHF	EC
SC_96330_34_30	cHF	MP
SC_96330_71_62	cHF	EC
SC_96330_69_10	cHF	EC
SC_96330_33_43	cHF	EC
SC_96330_33_47	cHF	EC
SC_96330_68_17	cHF	EC
SC_96330_66_20	cHF	EC
SC_96330_32_2	cHF	SMC
SC_96330_63_17	cHF	SMC
SC_96330_31_7	cHF	SMC
SC_96330_69_65	cHF	EC
SC_96330_69_46	cHF	EC
SC_96330_34_61	cHF	FB
SC_96330_35_52	cHF	MP
SC_96330_34_14	cHF	EC
SC_96330_31_29	cHF	EC
SC_96330_66_60	cHF	EC
SC_96330_30_50	cHF	EC
SC_96330_68_50	cHF	EC
SC_96330_70_18	cHF	EC
SC_96330_35_13	cHF	EC
SC_96330_67_13	cHF	EC
SC_96330_29_68	cHF	EC
SC_96330_71_58	cHF	SMC
SC_96330_65_64	cHF	EC
SC_96330_29_11	cHF	EC
SC_96330_63_52	cHF	EC
SC_96330_65_49	cHF	SMC
SC_96330_33_25	cHF	EC
SC_96330_63_62	cHF	SMC
SC_96330_64_26	cHF	EC
SC_96330_34_35	cHF	FB
SC_96330_66_68	cHF	EC
SC_96330_33_33	cHF	EC
SC_96330_70_17	cHF	EC
SC_96330_70_20	cHF	EC
SC_96330_29_26	cHF	EC
SC_96330_66_55	cHF	SMC
SC_96330_64_28	cHF	FB
SC_96330_71_54	cHF	EC
SC_96330_69_6	cHF	EC
SC_96330_71_30	cHF	EC
SC_96330_29_67	cHF	EC
SC_96330_29_27	cHF	EC
SC_96330_30_49	cHF	FB
SC_96330_69_35	cHF	FB
SC_96330_66_1	cHF	FB
SC_96330_63_57	cHF	EC
SC_96330_63_30	cHF	EC
SC_96330_35_35	cHF	EC
SC_96330_63_45	cHF	EC
SC_96330_34_34	cHF	EC
SC_96330_35_10	cHF	FB
SC_96330_71_35	cHF	SMC
SC_96330_69_52	cHF	EC
SC_96330_70_55	cHF	EC
SC_96330_30_36	cHF	SMC
SC_96330_65_22	cHF	SMC
SC_96330_63_59	cHF	SMC
SC_96330_70_12	cHF	MP
SC_96330_65_40	cHF	EC
SC_96330_70_36	cHF	SMC
SC_96330_29_12	cHF	FB
SC_96330_31_27	cHF	EC
SC_96330_28_45	cHF	EC
SC_96330_66_64	cHF	EC
SC_96330_29_24	cHF	EC
SC_96330_29_30	cHF	SMC
SC_96330_65_61	cHF	SMC
SC_96330_29_15	cHF	EC
SC_96330_63_14	cHF	EC
SC_96330_32_51	cHF	FB
SC_96330_68_65	cHF	EC
SC_96330_65_70	cHF	SMC
SC_96330_63_43	cHF	EC
SC_96330_70_69	cHF	EC
SC_96330_69_29	cHF	EC
SC_96330_69_62	cHF	EC
SC_96330_66_9	cHF	SMC
SC_96330_67_10	cHF	EC
SC_96330_66_29	cHF	EC
SC_96330_64_9	cHF	EC
SC_96330_69_45	cHF	EC
SC_96330_67_37	cHF	EC
SC_96330_28_13	cHF	EC
SC_96330_30_12	cHF	EC
